,"gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score",min,median,max,mean/std
25,"male,group A,master's degree,free/reduced,none,73.0,74.0,72.0","male,group A,master's degree,free/reduced,none,73.0,74.0,72.0",,,nan/nan
26,"male,group B,some college,standard,,69.0,54.0,55.0","male,group B,some college,standard,,69.0,54.0,55.0",,,nan/nan
27,"female,group C,bachelor's degree,standard,none,67.0,69.0,75.0","female,group C,bachelor's degree,standard,none,67.0,69.0,75.0",,,nan/nan
28,"male,group C,high school,standard,none,70.0,70.0,65.0","male,group C,high school,standard,none,70.0,70.0,65.0",,,nan/nan
29,"female,group D,master's degree,,none,62.0,70.0,75.0","female,group D,master's degree,,none,62.0,70.0,75.0",,,nan/nan
30,"female,group D,some college,standard,none,69.0,74.0,74.0","female,group D,some college,standard,none,69.0,74.0,74.0",,,nan/nan
31,"female,group B,,standard,none,63.0,65.0,61.0","female,group B,,standard,none,63.0,65.0,61.0",,,nan/nan
32,"female,group E,master's degree,free/reduced,none,,72.0,65.0","female,group E,master's degree,free/reduced,none,,72.0,65.0",,,nan/nan
33,"male,group D,some college,standard,none,40.0,42.0,38.0","male,group D,some college,standard,none,40.0,42.0,38.0",,,nan/nan
34,"male,group E,some college,standard,none,97.0,87.0,82.0","male,group E,some college,standard,none,97.0,87.0,82.0",,,nan/nan
35,"male,group E,,standard,completed,81.0,81.0,79.0","male,group E,,standard,completed,81.0,81.0,79.0",,,nan/nan
36,"female,group D,,standard,none,74.0,81.0,83.0","female,group D,,standard,none,74.0,81.0,83.0",,,nan/nan
37,"female,group D,some high school,,none,50.0,64.0,59.0","female,group D,some high school,,none,50.0,64.0,59.0",,,nan/nan
38,"female,group D,associate's degree,,completed,75.0,90.0,88.0","female,group D,associate's degree,,completed,75.0,90.0,88.0",,,nan/nan
39,"male,group B,associate's degree,free/reduced,none,57.0,56.0,57.0","male,group B,associate's degree,free/reduced,none,57.0,56.0,57.0",,,nan/nan
40,"male,group C,associate's degree,free/reduced,none,55.0,61.0,54.0","male,group C,associate's degree,free/reduced,none,55.0,61.0,54.0",,,nan/nan
41,"female,,associate's degree,standard,none,58.0,73.0,68.0","female,,associate's degree,standard,none,58.0,73.0,68.0",,,nan/nan
42,"female,group B,associate's degree,standard,none,53.0,58.0,65.0","female,group B,associate's degree,standard,none,53.0,58.0,65.0",,,nan/nan
43,"male,group B,some college,free/reduced,completed,59.0,65.0,66.0","male,group B,some college,free/reduced,completed,59.0,65.0,66.0",,,nan/nan
44,"female,group E,associate's degree,free/reduced,none,50.0,56.0,54.0","female,group E,associate's degree,free/reduced,none,50.0,56.0,54.0",,,nan/nan
45,"male,group B,associate's degree,standard,none,65.0,54.0,57.0","male,group B,associate's degree,standard,none,65.0,54.0,57.0",,,nan/nan
46,"female,group A,associate's degree,standard,completed,55.0,65.0,","female,group A,associate's degree,standard,completed,55.0,65.0,",,,nan/nan
47,"female,,high school,standard,none,66.0,71.0,76.0","female,,high school,standard,none,66.0,71.0,76.0",,,nan/nan
48,"female,group D,associate's degree,,completed,57.0,74.0,76.0","female,group D,associate's degree,,completed,57.0,74.0,76.0",,,nan/nan
49,"male,group C,high school,standard,completed,82.0,84.0,82.0","male,group C,high school,standard,completed,82.0,84.0,82.0",,,nan/nan
50,"male,group E,some college,standard,none,53.0,55.0,48.0","male,group E,some college,standard,none,53.0,55.0,48.0",,,nan/nan
51,"male,group E,associate's degree,free/reduced,completed,77.0,69.0,68.0","male,group E,associate's degree,free/reduced,completed,77.0,69.0,68.0",,,nan/nan
52,"male,group C,some college,standard,none,53.0,44.0,42.0","male,group C,some college,standard,none,53.0,44.0,42.0",,,nan/nan
53,"male,group D,high school,standard,none,88.0,78.0,75.0","male,group D,high school,standard,none,88.0,78.0,75.0",,,nan/nan
54,"female,,some high school,free/reduced,completed,71.0,84.0,87.0","female,,some high school,free/reduced,completed,71.0,84.0,87.0",,,nan/nan
55,"female,group C,high school,free/reduced,none,33.0,41.0,43.0","female,group C,high school,free/reduced,none,33.0,41.0,43.0",,,nan/nan
56,"female,group E,associate's degree,standard,completed,82.0,85.0,86.0","female,group E,associate's degree,standard,completed,82.0,85.0,86.0",,,nan/nan
57,"male,group D,associate's degree,standard,none,52.0,55.0,49.0","male,group D,associate's degree,standard,none,52.0,55.0,49.0",,,nan/nan
58,"male,group D,some college,standard,completed,58.0,59.0,58.0","male,group D,some college,standard,completed,58.0,59.0,58.0",,,nan/nan
59,"female,group C,some high school,free/reduced,none,0.0,17.0,10.0","female,group C,some high school,free/reduced,none,0.0,17.0,10.0",,,nan/nan
60,"male,group E,bachelor's degree,free/reduced,completed,79.0,74.0,72.0","male,group E,bachelor's degree,free/reduced,completed,79.0,74.0,72.0",,,nan/nan
61,"male,group A,some high school,free/reduced,none,39.0,39.0,34.0","male,group A,some high school,free/reduced,none,39.0,39.0,34.0",,,nan/nan
62,"male,group A,associate's degree,free/reduced,none,62.0,61.0,55.0","male,group A,associate's degree,free/reduced,none,62.0,61.0,55.0",,,nan/nan
63,"female,group C,associate's degree,standard,none,69.0,80.0,71.0","female,group C,associate's degree,standard,none,69.0,80.0,71.0",,,nan/nan
64,"female,group D,some high school,standard,none,59.0,58.0,59.0","female,group D,some high school,standard,none,59.0,58.0,59.0",,,nan/nan
65,"male,group B,some high school,standard,none,67.0,64.0,61.0","male,group B,some high school,standard,none,67.0,64.0,61.0",,,nan/nan
66,",group D,some high school,free/reduced,none,45.0,37.0,37.0",",group D,some high school,free/reduced,none,45.0,37.0,37.0",,,nan/nan
67,",group C,some college,standard,none,60.0,72.0,",",group C,some college,standard,none,60.0,72.0,",,,nan/nan
68,"male,group B,associate's degree,free/reduced,none,61.0,58.0,56.0","male,group B,associate's degree,free/reduced,none,61.0,58.0,56.0",,,nan/nan
69,"female,group C,associate's degree,standard,none,39.0,64.0,57.0","female,group C,associate's degree,standard,none,39.0,64.0,57.0",,,nan/nan
70,"female,group D,some college,free/reduced,completed,58.0,63.0,73.0","female,group D,some college,free/reduced,completed,58.0,63.0,73.0",,,nan/nan
71,"male,group D,some college,standard,,63.0,55.0,63.0","male,group D,some college,standard,,63.0,55.0,63.0",,,nan/nan
72,"female,group A,associate's degree,free/reduced,none,41.0,51.0,48.0","female,group A,associate's degree,free/reduced,none,41.0,51.0,48.0",,,nan/nan
73,"male,group C,some high school,free/reduced,,61.0,57.0,56.0","male,group C,some high school,free/reduced,,61.0,57.0,56.0",,,nan/nan
74,"male,group C,some high school,standard,none,49.0,49.0,41.0","male,group C,some high school,standard,none,49.0,49.0,41.0",,,nan/nan
75,"male,group B,associate's degree,free/reduced,none,44.0,41.0,38.0","male,group B,associate's degree,free/reduced,none,44.0,41.0,38.0",,,nan/nan
76,"male,group E,some high school,standard,none,30.0,26.0,22.0","male,group E,some high school,standard,none,30.0,26.0,22.0",,,nan/nan
77,"male,group A,,standard,completed,80.0,78.0,81.0","male,group A,,standard,completed,80.0,78.0,81.0",,,nan/nan
78,"female,,some high school,standard,,61.0,74.0,72.0","female,,some high school,standard,,61.0,74.0,72.0",,,nan/nan
79,"female,group E,master's degree,standard,none,62.0,68.0,68.0","female,group E,master's degree,standard,none,62.0,68.0,68.0",,,nan/nan
80,"female,group B,associate's degree,standard,none,47.0,49.0,50.0","female,group B,associate's degree,standard,none,47.0,49.0,50.0",,,nan/nan
81,"male,group B,high school,,none,49.0,45.0,45.0","male,group B,high school,,none,49.0,45.0,45.0",,,nan/nan
82,"male,group A,some college,free/reduced,,50.0,47.0,54.0","male,group A,some college,free/reduced,,50.0,47.0,54.0",,,nan/nan
83,"male,group E,associate's degree,standard,,72.0,64.0,63.0","male,group E,associate's degree,standard,,72.0,64.0,63.0",,,nan/nan
84,"male,group D,high school,free/reduced,none,42.0,39.0,34.0","male,group D,high school,free/reduced,none,42.0,39.0,34.0",,,nan/nan
85,"female,group C,some college,standard,none,73.0,80.0,82.0","female,group C,some college,standard,none,73.0,80.0,82.0",,,nan/nan
86,"female,group C,some college,free/reduced,none,76.0,83.0,88.0","female,group C,some college,free/reduced,none,76.0,83.0,88.0",,,nan/nan
87,"female,group D,associate's degree,standard,none,71.0,71.0,74.0","female,group D,associate's degree,standard,none,71.0,71.0,74.0",,,nan/nan
88,"female,group A,some college,standard,none,58.0,70.0,67.0","female,group A,some college,standard,none,58.0,70.0,67.0",,,nan/nan
89,"female,group D,some high school,standard,none,73.0,86.0,82.0","female,group D,some high school,standard,none,73.0,86.0,82.0",,,nan/nan
90,"female,group C,bachelor's degree,standard,none,,72.0,74.0","female,group C,bachelor's degree,standard,none,,72.0,74.0",,,nan/nan
91,",group C,high school,free/reduced,none,27.0,34.0,36.0",",group C,high school,free/reduced,none,27.0,34.0,36.0",,,nan/nan
92,"male,group C,high school,standard,none,71.0,79.0,71.0","male,group C,high school,standard,none,71.0,79.0,71.0",,,nan/nan
93,"male,group C,associate's degree,,completed,43.0,45.0,50.0","male,group C,associate's degree,,completed,43.0,45.0,50.0",,,nan/nan
94,"female,group B,,standard,none,,86.0,92.0","female,group B,,standard,none,,86.0,92.0",,,nan/nan
95,"male,group C,associate's degree,free/reduced,completed,78.0,81.0,82.0","male,group C,associate's degree,free/reduced,completed,78.0,81.0,82.0",,,nan/nan
96,"male,group B,some high school,standard,completed,65.0,66.0,62.0","male,group B,some high school,standard,completed,65.0,66.0,62.0",,,nan/nan
97,"female,group E,,standard,completed,63.0,72.0,70.0","female,group E,,standard,completed,63.0,72.0,70.0",,,nan/nan
98,"female,group D,some college,free/reduced,none,58.0,67.0,62.0","female,group D,some college,free/reduced,none,58.0,67.0,62.0",,,nan/nan
99,"female,group D,bachelor's degree,standard,none,65.0,67.0,62.0","female,group D,bachelor's degree,standard,none,65.0,67.0,62.0",,,nan/nan
100,"male,group B,some college,,none,,67.0,67.0","male,group B,some college,,none,,67.0,67.0",,,nan/nan
101,"male,group D,bachelor's degree,,completed,68.0,74.0,74.0","male,group D,bachelor's degree,,completed,68.0,74.0,74.0",,,nan/nan
102,"female,group D,associate's degree,standard,none,85.0,91.0,89.0","female,group D,associate's degree,standard,none,85.0,91.0,89.0",,,nan/nan
103,"male,group B,high school,standard,completed,60.0,44.0,47.0","male,group B,high school,standard,completed,60.0,44.0,47.0",,,nan/nan
104,"male,group C,some college,,,98.0,86.0,90.0","male,group C,some college,,,98.0,86.0,90.0",,,nan/nan
105,"female,group C,,standard,none,58.0,67.0,72.0","female,group C,,standard,none,58.0,67.0,72.0",,,nan/nan
106,"female,group D,master's degree,standard,none,87.0,100.0,100.0","female,group D,master's degree,standard,none,87.0,100.0,100.0",,,nan/nan
107,"male,group E,associate's degree,standard,completed,66.0,63.0,64.0","male,group E,associate's degree,standard,completed,66.0,63.0,64.0",,,nan/nan
108,"female,group B,associate's degree,free/reduced,none,52.0,76.0,70.0","female,group B,associate's degree,free/reduced,none,52.0,76.0,70.0",,,nan/nan
109,"female,group B,some high school,standard,none,70.0,64.0,72.0","female,group B,some high school,standard,none,70.0,64.0,72.0",,,nan/nan
110,"female,group D,associate's degree,free/reduced,completed,77.0,89.0,98.0","female,group D,associate's degree,free/reduced,completed,77.0,89.0,98.0",,,nan/nan
111,"male,group C,high school,standard,none,62.0,55.0,49.0","male,group C,high school,standard,none,62.0,55.0,49.0",,,nan/nan
112,"male,group A,associate's degree,standard,none,54.0,53.0,47.0","male,group A,associate's degree,standard,none,54.0,53.0,47.0",,,nan/nan
113,"female,group D,some college,standard,none,51.0,58.0,54.0","female,group D,some college,standard,none,51.0,58.0,54.0",,,nan/nan
114,"female,group E,bachelor's degree,standard,completed,99.0,100.0,100.0","female,group E,bachelor's degree,standard,completed,99.0,100.0,100.0",,,nan/nan
115,"male,group C,high school,standard,none,84.0,77.0,74.0","male,group C,high school,standard,none,84.0,77.0,74.0",,,nan/nan
116,"female,group B,bachelor's degree,free/reduced,none,75.0,85.0,82.0","female,group B,bachelor's degree,free/reduced,none,75.0,85.0,82.0",,,nan/nan
117,"female,group D,bachelor's degree,standard,none,78.0,82.0,79.0","female,group D,bachelor's degree,standard,none,78.0,82.0,79.0",,,nan/nan
118,"female,group D,some high school,standard,none,51.0,63.0,61.0","female,group D,some high school,standard,none,51.0,63.0,61.0",,,nan/nan
119,"female,group C,some college,standard,none,55.0,69.0,65.0","female,group C,some college,standard,none,55.0,69.0,65.0",,,nan/nan
120,"female,group C,bachelor's degree,standard,completed,79.0,92.0,89.0","female,group C,bachelor's degree,standard,completed,79.0,92.0,89.0",,,nan/nan
121,"male,group B,associate's degree,standard,completed,91.0,89.0,92.0","male,group B,associate's degree,standard,completed,91.0,89.0,92.0",,,nan/nan
122,"female,group C,some college,standard,completed,88.0,,93.0","female,group C,some college,standard,completed,88.0,,93.0",,,nan/nan
123,"male,group D,high school,free/reduced,none,63.0,57.0,56.0","male,group D,high school,free/reduced,none,63.0,57.0,56.0",,,nan/nan
124,"male,group E,some college,standard,none,83.0,80.0,73.0","male,group E,some college,standard,none,83.0,80.0,73.0",,,nan/nan
125,"female,group B,high school,standard,none,87.0,95.0,86.0","female,group B,high school,standard,none,87.0,95.0,86.0",,,nan/nan
126,"male,group B,some high school,standard,none,72.0,,67.0","male,group B,some high school,standard,none,72.0,,67.0",,,nan/nan
127,"male,group D,some college,standard,completed,65.0,77.0,74.0","male,group D,some college,standard,completed,65.0,77.0,74.0",,,nan/nan
128,",group D,master's degree,standard,none,82.0,82.0,",",group D,master's degree,standard,none,82.0,82.0,",,,nan/nan
129,"female,group A,bachelor's degree,standard,none,51.0,49.0,51.0","female,group A,bachelor's degree,standard,none,51.0,49.0,51.0",,,nan/nan
130,"male,group D,master's degree,standard,none,89.0,84.0,82.0","male,group D,master's degree,standard,none,89.0,84.0,82.0",,,nan/nan
131,"male,group C,some high school,free/reduced,completed,53.0,37.0,40.0","male,group C,some high school,free/reduced,completed,53.0,37.0,40.0",,,nan/nan
132,"male,group E,some college,free/reduced,completed,87.0,74.0,70.0","male,group E,some college,free/reduced,completed,87.0,74.0,70.0",,,nan/nan
133,"female,group C,some college,standard,completed,75.0,81.0,84.0","female,group C,some college,standard,completed,75.0,81.0,84.0",,,nan/nan
134,",group D,bachelor's degree,free/reduced,completed,74.0,79.0,75.0",",group D,bachelor's degree,free/reduced,completed,74.0,79.0,75.0",,,nan/nan
135,"male,group C,bachelor's degree,standard,none,58.0,55.0,48.0","male,group C,bachelor's degree,standard,none,58.0,55.0,48.0",,,nan/nan
136,"male,group B,some high school,standard,completed,51.0,,41.0","male,group B,some high school,standard,completed,51.0,,41.0",,,nan/nan
137,"male,group E,,standard,none,70.0,55.0,56.0","male,group E,,standard,none,70.0,55.0,56.0",,,nan/nan
138,"female,group C,associate's degree,standard,none,59.0,,67.0","female,group C,associate's degree,standard,none,59.0,,67.0",,,nan/nan
139,"male,group D,some college,standard,completed,71.0,61.0,69.0","male,group D,some college,standard,completed,71.0,61.0,69.0",,,nan/nan
140,"female,group D,some high school,standard,none,76.0,,71.0","female,group D,some high school,standard,none,76.0,,71.0",,,nan/nan
141,"female,group C,some college,free/reduced,none,59.0,62.0,64.0","female,group C,some college,free/reduced,none,59.0,62.0,64.0",,,nan/nan
142,"female,group E,some college,free/reduced,completed,42.0,55.0,54.0","female,group E,some college,free/reduced,completed,42.0,55.0,54.0",,,nan/nan
143,"male,group A,high school,standard,none,57.0,43.0,47.0","male,group A,high school,standard,none,57.0,43.0,47.0",,,nan/nan
144,",group D,some college,standard,none,88.0,73.0,78.0",",group D,some college,standard,none,88.0,73.0,78.0",,,nan/nan
145,"female,group C,some college,free/reduced,none,22.0,39.0,33.0","female,group C,some college,free/reduced,none,22.0,39.0,33.0",,,nan/nan
146,"male,group B,some high school,standard,,88.0,84.0,75.0","male,group B,some high school,standard,,88.0,84.0,75.0",,,nan/nan
147,"male,group C,associate's degree,free/reduced,none,73.0,,66.0","male,group C,associate's degree,free/reduced,none,73.0,,66.0",,,nan/nan
148,"female,group D,bachelor's degree,standard,completed,68.0,75.0,81.0","female,group D,bachelor's degree,standard,completed,68.0,75.0,81.0",,,nan/nan
149,"male,group E,associate's degree,free/reduced,completed,100.0,100.0,93.0","male,group E,associate's degree,free/reduced,completed,100.0,100.0,93.0",,,nan/nan
150,"male,group A,some high school,standard,completed,62.0,67.0,69.0","male,group A,some high school,standard,completed,62.0,67.0,69.0",,,nan/nan
151,"male,group A,bachelor's degree,standard,none,77.0,67.0,","male,group A,bachelor's degree,standard,none,77.0,67.0,",,,nan/nan
152,",group B,associate's degree,standard,completed,59.0,70.0,66.0",",group B,associate's degree,standard,completed,59.0,70.0,66.0",,,nan/nan
153,"male,group D,bachelor's degree,standard,none,54.0,49.0,47.0","male,group D,bachelor's degree,standard,none,54.0,49.0,47.0",,,nan/nan
154,"male,,some high school,standard,none,62.0,67.0,61.0","male,,some high school,standard,none,62.0,67.0,61.0",,,nan/nan
155,"female,group C,,standard,completed,70.0,89.0,88.0","female,group C,,standard,completed,70.0,89.0,88.0",,,nan/nan
156,"female,group E,high school,free/reduced,completed,66.0,74.0,78.0","female,group E,high school,free/reduced,completed,66.0,74.0,78.0",,,nan/nan
157,"male,group B,some college,free/reduced,none,60.0,60.0,60.0","male,group B,some college,free/reduced,none,60.0,60.0,60.0",,,nan/nan
158,"female,group B,associate's degree,standard,completed,61.0,86.0,87.0","female,group B,associate's degree,standard,completed,61.0,86.0,87.0",,,nan/nan
159,",group D,associate's degree,free/reduced,none,66.0,62.0,64.0",",group D,associate's degree,free/reduced,none,66.0,62.0,64.0",,,nan/nan
160,"male,group B,associate's degree,free/reduced,completed,82.0,78.0,74.0","male,group B,associate's degree,free/reduced,completed,82.0,78.0,74.0",,,nan/nan
161,"female,group E,some college,free/reduced,completed,75.0,88.0,85.0","female,group E,some college,free/reduced,completed,75.0,88.0,85.0",,,nan/nan
162,"male,group B,master's degree,free/reduced,none,49.0,53.0,52.0","male,group B,master's degree,free/reduced,none,49.0,53.0,52.0",,,nan/nan
163,"male,group C,high school,standard,none,52.0,53.0,49.0","male,group C,high school,standard,none,52.0,53.0,49.0",,,nan/nan
164,"female,group E,master's degree,standard,none,81.0,92.0,91.0","female,group E,master's degree,standard,none,81.0,92.0,91.0",,,nan/nan
165,"female,group C,bachelor's degree,standard,completed,96.0,100.0,100.0","female,group C,bachelor's degree,standard,completed,96.0,100.0,100.0",,,nan/nan
166,"male,group C,high school,free/reduced,completed,53.0,51.0,51.0","male,group C,high school,free/reduced,completed,53.0,51.0,51.0",,,nan/nan
167,"female,group B,master's degree,free/reduced,completed,58.0,76.0,78.0","female,group B,master's degree,free/reduced,completed,58.0,76.0,78.0",,,nan/nan
168,"female,group B,high school,standard,completed,68.0,83.0,78.0","female,group B,high school,standard,completed,68.0,83.0,78.0",,,nan/nan
169,"female,group C,some college,free/reduced,completed,67.0,,70.0","female,group C,some college,free/reduced,completed,67.0,,70.0",,,nan/nan
170,"male,group A,high school,standard,completed,72.0,73.0,74.0","male,group A,high school,standard,completed,72.0,73.0,74.0",,,nan/nan
171,"male,group E,some high school,standard,none,94.0,88.0,78.0","male,group E,some high school,standard,none,94.0,88.0,78.0",,,nan/nan
172,"female,group D,some college,standard,none,79.0,86.0,81.0","female,group D,some college,standard,none,79.0,86.0,81.0",,,nan/nan
173,"female,group C,associate's degree,standard,none,63.0,67.0,70.0","female,group C,associate's degree,standard,none,63.0,67.0,70.0",,,nan/nan
174,"female,group C,bachelor's degree,free/reduced,completed,43.0,51.0,54.0","female,group C,bachelor's degree,free/reduced,completed,43.0,51.0,54.0",,,nan/nan
175,"female,group C,master's degree,standard,completed,81.0,91.0,87.0","female,group C,master's degree,standard,completed,81.0,91.0,87.0",,,nan/nan
176,",group B,high school,free/reduced,completed,46.0,54.0,58.0",",group B,high school,free/reduced,completed,46.0,54.0,58.0",,,nan/nan
177,"female,,associate's degree,standard,completed,71.0,77.0,77.0","female,,associate's degree,standard,completed,71.0,77.0,77.0",,,nan/nan
178,"female,group B,master's degree,free/reduced,completed,52.0,70.0,62.0","female,group B,master's degree,free/reduced,completed,52.0,70.0,62.0",,,nan/nan
179,"female,group D,some high school,standard,completed,97.0,100.0,100.0","female,group D,some high school,standard,completed,97.0,100.0,100.0",,,nan/nan
180,"male,group C,,free/reduced,completed,62.0,68.0,75.0","male,group C,,free/reduced,completed,62.0,68.0,75.0",,,nan/nan
181,"female,group C,some college,free/reduced,none,46.0,64.0,66.0","female,group C,some college,free/reduced,none,46.0,64.0,66.0",,,nan/nan
182,"female,group E,high school,standard,none,50.0,50.0,47.0","female,group E,high school,standard,none,50.0,50.0,47.0",,,nan/nan
183,"female,group D,associate's degree,standard,none,65.0,69.0,70.0","female,group D,associate's degree,standard,none,65.0,69.0,70.0",,,nan/nan
184,"male,,some high school,free/reduced,completed,45.0,52.0,49.0","male,,some high school,free/reduced,completed,45.0,52.0,49.0",,,nan/nan
185,"male,group C,associate's degree,free/reduced,completed,65.0,67.0,65.0","male,group C,associate's degree,free/reduced,completed,65.0,67.0,65.0",,,nan/nan
186,"male,group E,high school,standard,none,80.0,76.0,65.0","male,group E,high school,standard,none,80.0,76.0,65.0",,,nan/nan
187,"male,group D,some high school,standard,completed,62.0,66.0,68.0","male,group D,some high school,standard,completed,62.0,66.0,68.0",,,nan/nan
188,"male,group B,some high school,free/reduced,none,48.0,52.0,45.0","male,group B,some high school,free/reduced,none,48.0,52.0,45.0",,,nan/nan
189,"female,group C,bachelor's degree,standard,none,77.0,88.0,87.0","female,group C,bachelor's degree,standard,none,77.0,88.0,87.0",,,nan/nan
190,"female,group E,associate's degree,standard,none,66.0,65.0,69.0","female,group E,associate's degree,standard,none,66.0,65.0,69.0",,,nan/nan
191,"male,group D,some college,standard,completed,76.0,83.0,79.0","male,group D,some college,standard,completed,76.0,83.0,79.0",,,nan/nan
192,"female,group B,some high school,standard,none,62.0,64.0,66.0","female,group B,some high school,standard,none,62.0,64.0,66.0",,,nan/nan
193,"male,group D,some college,standard,completed,77.0,62.0,62.0","male,group D,some college,standard,completed,77.0,62.0,62.0",,,nan/nan
194,"female,group C,master's degree,standard,completed,69.0,,85.0","female,group C,master's degree,standard,completed,69.0,,85.0",,,nan/nan
195,"male,group D,associate's degree,standard,none,61.0,55.0,52.0","male,group D,associate's degree,standard,none,61.0,55.0,52.0",,,nan/nan
196,"male,group C,some high school,free/reduced,completed,59.0,69.0,65.0","male,group C,some high school,free/reduced,completed,59.0,69.0,65.0",,,nan/nan
197,"male,group E,,free/reduced,none,55.0,56.0,51.0","male,group E,,free/reduced,none,55.0,56.0,51.0",,,nan/nan
198,"female,group B,some college,free/reduced,none,45.0,53.0,55.0","female,group B,some college,free/reduced,none,45.0,53.0,55.0",,,nan/nan
199,"female,group B,bachelor's degree,free/reduced,none,78.0,79.0,76.0","female,group B,bachelor's degree,free/reduced,none,78.0,79.0,76.0",,,nan/nan
200,"female,group C,associate's degree,standard,completed,67.0,84.0,86.0","female,group C,associate's degree,standard,completed,67.0,84.0,86.0",,,nan/nan
201,"female,group D,some college,free/reduced,none,65.0,81.0,77.0","female,group D,some college,free/reduced,none,65.0,81.0,77.0",,,nan/nan
202,"male,group C,,standard,none,69.0,77.0,69.0","male,group C,,standard,none,69.0,77.0,69.0",,,nan/nan
203,"female,group B,associate's degree,standard,none,57.0,69.0,68.0","female,group B,associate's degree,standard,none,57.0,69.0,68.0",,,nan/nan
204,"male,group C,some college,standard,none,59.0,41.0,42.0","male,group C,some college,standard,none,59.0,41.0,42.0",,,nan/nan
205,"male,group D,some high school,standard,completed,74.0,71.0,78.0","male,group D,some high school,standard,completed,74.0,71.0,78.0",,,nan/nan
206,"male,,bachelor's degree,standard,none,82.0,62.0,62.0","male,,bachelor's degree,standard,none,82.0,62.0,62.0",,,nan/nan
207,"male,group E,high school,standard,completed,81.0,80.0,76.0","male,group E,high school,standard,completed,81.0,80.0,76.0",,,nan/nan
208,"female,group B,some college,free/reduced,none,74.0,81.0,76.0","female,group B,some college,free/reduced,none,74.0,81.0,76.0",,,nan/nan
209,"female,group B,some college,free/reduced,none,58.0,61.0,66.0","female,group B,some college,free/reduced,none,58.0,61.0,66.0",,,nan/nan
210,",group D,some high school,free/reduced,completed,80.0,79.0,79.0",",group D,some high school,free/reduced,completed,80.0,79.0,79.0",,,nan/nan
211,"male,group C,some college,free/reduced,none,35.0,28.0,27.0","male,group C,some college,free/reduced,none,35.0,28.0,27.0",,,nan/nan
